[    0.000000] printk: log buffer data + meta data: 131072 + 557056 = 688128 bytes
[  178.414183] 8812eu: loading out-of-tree module taints kernel.
[  178.826518] usbcore: registered new interface driver rtl88x2eu
[11039.545440] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11039.570302] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11044.794812] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11044.810044] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11050.054279] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11050.074355] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11055.293728] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11055.310085] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11060.550554] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11060.566262] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11065.652026] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11065.662689] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11070.801839] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11070.818796] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11076.054510] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11076.078122] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11081.293695] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11081.318780] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11086.549854] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11086.575041] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11091.805984] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11091.838361] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11097.058354] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11097.082346] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11102.294489] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11102.318257] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11107.554711] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11107.570237] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11112.794448] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11112.822334] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11118.058175] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11118.086641] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11123.297944] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11123.314081] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11128.553536] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11128.570353] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11133.793443] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11133.810170] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11139.042445] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11139.074280] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11144.289779] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11144.310298] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11149.545868] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11149.562282] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11154.801930] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11154.819134] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11160.045158] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11160.066272] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11165.316587] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11165.350394] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11170.549913] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11170.567139] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11175.789738] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11175.810671] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11181.068013] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11181.098355] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11186.178764] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11186.214310] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11191.298414] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11191.318662] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11196.550213] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11196.574304] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11201.794446] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11201.810638] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11207.058535] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11207.070133] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11212.294471] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11212.318793] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11217.554384] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11217.574328] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11222.793749] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11222.814344] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
